kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,1120,资水,320,1,61508600,沙头(二),0,1786201200000,5,4,29.17
1,0,1110,资水,320,1,61508600,沙头(二),0,1786204800000,5,4,29.15
1,0,1100,资水,320,1,61508600,沙头(二),0,1786208400000,5,4,29.13
1,0,1070,资水,320,1,61508600,沙头(二),0,1786212000000,5,4,29.1
1,0,1070,资水,320,1,61508600,沙头(二),0,1786215600000,5,4,29.09
1,0,1050,资水,320,1,61508600,沙头(二),0,1786219200000,5,4,29.07
1,0,1030,资水,320,1,61508600,沙头(二),0,1786222800000,5,4,29.05
1,0,1030,资水,320,1,61508600,沙头(二),0,1786226400000,5,4,29.04
1,0,1020,资水,320,1,61508600,沙头(二),0,1786230000000,5,4,29.03
1,0,1000,资水,320,1,61508600,沙头(二),0,1786240800000,5,4,29.01
1,0,1020,资水,320,1,61508600,沙头(二),0,1786244400000,5,6,29.01
1,0,1000,资水,320,1,61508600,沙头(二),0,1786251600000,5,4,28.99
1,0,1000,资水,320,1,61508600,沙头(二),0,1786255200000,5,6,28.99
1,0,985,资水,320,1,61508600,沙头(二),0,1786258800000,5,4,28.98
1,0,1020,资水,320,1,61508600,沙头(二),0,1786262400000,5,5,29
1,0,996,资水,320,1,61508600,沙头(二),0,1786266000000,5,4,28.98
1,0,996,资水,320,1,61508600,沙头(二),0,1786269600000,5,6,28.98
1,0,1000,资水,320,1,61508600,沙头(二),0,1786273200000,5,4,28.97
1,0,957,资水,320,1,61508600,沙头(二),0,1786280400000,5,4,28.93
1,0,937,资水,320,1,61508600,沙头(二),0,1786284000000,5,4,28.91
1,0,938,资水,320,1,61508600,沙头(二),0,1786287600000,5,4,28.9
1,0,919,资水,320,1,61508600,沙头(二),0,1786291200000,5,4,28.88
1,0,893,资水,320,1,61508600,沙头(二),0,1786294800000,5,4,28.86
1,0,916,资水,320,1,61508600,沙头(二),0,1786298400000,5,6,28.86
1,0,896,资水,320,1,61508600,沙头(二),0,1786302000000,5,4,28.84
1,0,892,资水,320,1,61508600,沙头(二),0,1786305600000,5,4,28.83
1,0,887,资水,320,1,61508600,沙头(二),0,1786309200000,5,4,28.82
1,0,868,资水,320,1,61508600,沙头(二),0,1786312800000,5,4,28.8
