tm,wptn,z,stcd,stnm,www,rvnm
1786201200000,5,89.43,61802600,王家营(三),2,汉江
1786204800000,4,89.37,61802600,王家营(三),2,汉江
1786208400000,5,89.43,61802600,王家营(三),2,汉江
1786212000000,4,89.42,61802600,王家营(三),2,汉江
1786215600000,6,89.42,61802600,王家营(三),2,汉江
1786219200000,4,89.32,61802600,王家营(三),2,汉江
1786222800000,4,89.16,61802600,王家营(三),2,汉江
1786226400000,4,89.06,61802600,王家营(三),2,汉江
1786230000000,4,89.0,61802600,王家营(三),2,汉江
1786240800000,4,88.95,61802600,王家营(三),2,汉江
1786244400000,4,88.92,61802600,王家营(三),2,汉江
1786251600000,5,88.89,61802600,王家营(三),2,汉江
1786255200000,5,89.13,61802600,王家营(三),2,汉江
1786258800000,4,89.05,61802600,王家营(三),2,汉江
1786262400000,5,89.2,61802600,王家营(三),2,汉江
1786266000000,5,89.32,61802600,王家营(三),2,汉江
1786269600000,5,89.39,61802600,王家营(三),2,汉江
1786273200000,5,89.42,61802600,王家营(三),2,汉江
1786280400000,4,89.35,61802600,王家营(三),2,汉江
1786284000000,5,89.37,61802600,王家营(三),2,汉江
1786287600000,5,89.42,61802600,王家营(三),2,汉江
1786291200000,4,89.37,61802600,王家营(三),2,汉江
1786294800000,5,89.42,61802600,王家营(三),2,汉江
1786298400000,6,89.42,61802600,王家营(三),2,汉江
1786302000000,4,89.39,61802600,王家营(三),2,汉江
1786305600000,6,89.39,61802600,王家营(三),2,汉江
1786309200000,4,89.17,61802600,王家营(三),2,汉江
1786312800000,4,89.0,61802600,王家营(三),2,汉江
1786316400000,4,88.97,61802600,王家营(三),2,汉江
1786320000000,4,88.94,61802600,王家营(三),2,汉江
1786327200000,4,88.82,61802600,王家营(三),2,汉江
1786334400000,4,88.73,61802600,王家营(三),2,汉江
1786341600000,4,88.71,61802600,王家营(三),2,汉江
1786348800000,5,89.15,61802600,王家营(三),2,汉江
1786352400000,5,89.22,61802600,王家营(三),2,汉江
1786359600000,6,89.26,61802600,王家营(三),2,汉江
1786363200000,4,89.12,61802600,王家营(三),2,汉江
1786370400000,5,89.22,61802600,王家营(三),2,汉江
1786374000000,5,89.31,61802600,王家营(三),2,汉江
1786377600000,5,89.36,61802600,王家营(三),2,汉江
