kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,1320,汉江,630,1,61804600,仙桃(二),0,1786201200000,5,6,25.32
1,0,1320,汉江,630,1,61804600,仙桃(二),0,1786204800000,5,5,25.33
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786208400000,5,5,25.34
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786212000000,5,5,25.35
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786215600000,5,4,25.34
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786219200000,5,5,25.35
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786222800000,5,6,25.35
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786226400000,5,6,25.35
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786230000000,5,6,25.35
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786240800000,5,6,25.35
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786244400000,5,6,25.35
1,0,1330,汉江,630,1,61804600,仙桃(二),0,1786251600000,5,6,25.35
1,0,1320,汉江,630,1,61804600,仙桃(二),0,1786255200000,5,4,25.34
1,0,1320,汉江,630,1,61804600,仙桃(二),0,1786258800000,5,6,25.34
1,0,1320,汉江,630,1,61804600,仙桃(二),0,1786262400000,5,6,25.34
1,0,1310,汉江,630,1,61804600,仙桃(二),0,1786266000000,5,4,25.33
1,0,1310,汉江,630,1,61804600,仙桃(二),0,1786269600000,5,4,25.32
1,0,1310,汉江,630,1,61804600,仙桃(二),0,1786273200000,5,4,25.31
1,0,1310,汉江,630,1,61804600,仙桃(二),0,1786280400000,5,4,25.3
1,0,1310,汉江,630,1,61804600,仙桃(二),0,1786284000000,5,6,25.3
1,0,1310,汉江,630,1,61804600,仙桃(二),0,1786287600000,5,6,25.3
1,0,1310,汉江,630,1,61804600,仙桃(二),0,1786291200000,5,6,25.3
1,0,1310,汉江,630,1,61804600,仙桃(二),0,1786294800000,5,6,25.3
1,0,1300,汉江,630,1,61804600,仙桃(二),0,1786298400000,5,4,25.29
1,0,1300,汉江,630,1,61804600,仙桃(二),0,1786302000000,5,6,25.29
