kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,1410,汉江,570,1,61804110,皇庄,0,1786201200000,5,4,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786204800000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786208400000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786212000000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786215600000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786219200000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786222800000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786226400000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786230000000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786240800000,5,6,40.86
1,0,1410,汉江,570,1,61804110,皇庄,0,1786244400000,5,4,40.85
1,0,1410,汉江,570,1,61804110,皇庄,0,1786251600000,5,6,40.85
1,0,1410,汉江,570,1,61804110,皇庄,0,1786255200000,5,6,40.85
1,0,1410,汉江,570,1,61804110,皇庄,0,1786258800000,5,6,40.85
1,0,1430,汉江,570,1,61804110,皇庄,0,1786262400000,5,5,40.89
1,0,1430,汉江,570,1,61804110,皇庄,0,1786266000000,5,6,40.89
1,0,1430,汉江,570,1,61804110,皇庄,0,1786269600000,5,6,40.89
1,0,1430,汉江,570,1,61804110,皇庄,0,1786273200000,5,6,40.89
1,0,1430,汉江,570,1,61804110,皇庄,0,1786280400000,5,6,40.89
1,0,1430,汉江,570,1,61804110,皇庄,0,1786284000000,5,6,40.89
1,0,1430,汉江,570,1,61804110,皇庄,0,1786287600000,5,6,40.89
1,0,1430,汉江,570,1,61804110,皇庄,0,1786291200000,5,6,40.89
1,0,1430,汉江,570,1,61804110,皇庄,0,1786294800000,5,5,40.9
1,0,1430,汉江,570,1,61804110,皇庄,0,1786298400000,5,6,40.9
1,0,1430,汉江,570,1,61804110,皇庄,0,1786302000000,5,6,40.9
1,0,1430,汉江,570,1,61804110,皇庄,0,1786305600000,5,6,40.9
1,0,1430,汉江,570,1,61804110,皇庄,0,1786309200000,5,6,40.9
1,0,1430,汉江,570,1,61804110,皇庄,0,1786312800000,5,6,40.9
1,0,1440,汉江,570,1,61804110,皇庄,0,1786316400000,5,5,40.91
1,0,1440,汉江,570,1,61804110,皇庄,0,1786320000000,5,6,40.91
1,0,1430,汉江,570,1,61804110,皇庄,0,1786327200000,5,6,40.9
1,0,1470,汉江,570,1,61804110,皇庄,0,1786334400000,5,5,40.96
1,0,1500,汉江,570,1,61804110,皇庄,0,1786341600000,5,5,41.01
1,0,1520,汉江,570,1,61804110,皇庄,0,1786348800000,5,5,41.04
1,0,1590,汉江,570,1,61804110,皇庄,0,1786352400000,5,5,41.14
1,0,1790,汉江,570,1,61804110,皇庄,0,1786359600000,5,5,41.26
1,0,1810,汉江,570,1,61804110,皇庄,0,1786363200000,5,5,41.29
1,0,1790,汉江,570,1,61804110,皇庄,0,1786366800000,5,4,41.26
1,0,1780,汉江,570,1,61804110,皇庄,0,1786374000000,5,4,41.24
1,0,1770,汉江,570,1,61804110,皇庄,0,1786377600000,5,4,41.23
1,0,1770,汉江,570,1,61804110,皇庄,0,1786381200000,5,6,41.23
1,0,1760,汉江,570,1,61804110,皇庄,0,1786388400000,5,6,41.22
1,0,1770,汉江,570,1,61804110,皇庄,0,1786392000000,5,5,41.23
1,0,1780,汉江,570,1,61804110,皇庄,0,1786395600000,5,5,41.25
1,0,1780,汉江,570,1,61804110,皇庄,0,1786399200000,5,6,41.25
1,0,1780,汉江,570,1,61804110,皇庄,0,1786402800000,5,6,41.25
1,0,1790,汉江,570,1,61804110,皇庄,0,1786413600000,5,4,41.26
1,0,1800,汉江,570,1,61804110,皇庄,0,1786417200000,5,5,41.27
1,0,1800,汉江,570,1,61804110,皇庄,0,1786424400000,5,6,41.27
1,0,1800,汉江,570,1,61804110,皇庄,0,1786428000000,5,6,41.27
1,0,1810,汉江,570,1,61804110,皇庄,0,1786431600000,5,5,41.28
1,0,1810,汉江,570,1,61804110,皇庄,0,1786438800000,5,6,41.28
1,0,1810,汉江,570,1,61804110,皇庄,0,1786442400000,5,6,41.28
1,0,1810,汉江,570,1,61804110,皇庄,0,1786446000000,5,6,41.28
1,0,1860,汉江,570,1,61804110,皇庄,0,1786453200000,5,5,41.35
1,0,1890,汉江,570,1,61804110,皇庄,0,1786456800000,5,5,41.39
1,0,1920,汉江,570,1,61804110,皇庄,0,1786460400000,5,5,41.43
1,0,1930,汉江,570,1,61804110,皇庄,0,1786464000000,5,5,41.45
1,0,1950,汉江,570,1,61804110,皇庄,0,1786467600000,5,5,41.47
1,0,1960,汉江,570,1,61804110,皇庄,0,1786471200000,5,5,41.48
1,0,1970,汉江,570,1,61804110,皇庄,0,1786474800000,5,5,41.5
1,0,2080,汉江,570,1,61804110,皇庄,0,1786478400000,5,5,41.65
1,0,2270,汉江,570,1,61804110,皇庄,0,1786482000000,5,5,41.9
1,0,2480,汉江,570,1,61804110,皇庄,0,1786485600000,5,5,42.15
1,0,2660,汉江,570,1,61804110,皇庄,0,1786489200000,5,5,42.34
1,0,2780,汉江,570,1,61804110,皇庄,0,1786492800000,5,5,42.47
1,0,4100,汉江,570,1,61804110,皇庄,0,1786503600000,5,5,43.24
1,0,4600,汉江,570,1,61804110,皇庄,0,1786507200000,5,5,43.64
1,0,5160,汉江,570,1,61804110,皇庄,0,1786514400000,5,5,44.09
1,0,5330,汉江,570,1,61804110,皇庄,0,1786518000000,5,5,44.23
1,0,5820,汉江,570,1,61804110,皇庄,0,1786525200000,5,5,44.62
1,0,6200,汉江,570,1,61804110,皇庄,0,1786528800000,5,5,44.93
1,0,6590,汉江,570,1,61804110,皇庄,0,1786532400000,5,5,45.24
1,0,8250,汉江,570,1,61804110,皇庄,0,1786536000000,5,5,45.46
1,0,9110,汉江,570,1,61804110,皇庄,0,1786543200000,5,5,45.89
1,0,9340,汉江,570,1,61804110,皇庄,0,1786547400000,5,5,46.01
1,0,9480,汉江,570,1,61804110,皇庄,0,1786550700000,5,6,46.08
1,0,9640,汉江,570,1,61804110,皇庄,0,1786554300000,5,6,46.16
1,0,0,汉江,570,1,61804110,皇庄,0,1786557600000,5,6,46.24
1,0,9980,汉江,570,1,61804110,皇庄,0,1786562400000,5,5,46.33
1,0,10100,汉江,570,1,61804110,皇庄,0,1786565700000,5,4,46.38
1,0,10200,汉江,570,1,61804110,皇庄,0,1786569600000,5,6,46.46
1,0,10400,汉江,570,1,61804110,皇庄,0,1786573200000,5,6,46.52
1,0,10500,汉江,570,1,61804110,皇庄,0,1786576500000,5,5,46.59
1,0,10500,汉江,570,1,61804110,皇庄,0,1786581600000,5,6,46.66
1,0,9230,汉江,570,1,61804110,皇庄,0,1786590600000,5,6,46.82
1,0,9290,汉江,570,1,61804110,皇庄,0,1786597200000,5,5,46.91
1,0,9310,汉江,570,1,61804110,皇庄,0,1786602900000,5,6,46.95
1,0,9360,汉江,570,1,61804110,皇庄,0,1786608000000,5,6,47.02
1,0,9460,汉江,570,1,61804110,皇庄,0,1786613400000,5,5,47.08
1,0,9470,汉江,570,1,61804110,皇庄,0,1786617600000,5,6,47.1
1,0,9480,汉江,570,1,61804110,皇庄,0,1786620300000,5,4,47.11
1,0,9500,汉江,570,1,61804110,皇庄,0,1786623900000,5,5,47.15
1,0,9520,汉江,570,1,61804110,皇庄,0,1786629600000,5,5,47.17
1,0,9530,汉江,570,1,61804110,皇庄,0,1786633800000,5,5,47.19
1,0,9540,汉江,570,1,61804110,皇庄,0,1786637100000,5,6,47.2
1,0,9540,汉江,570,1,61804110,皇庄,0,1786641000000,5,5,47.2
1,0,9530,汉江,570,1,61804110,皇庄,0,1786644000000,5,4,47.19
1,0,9530,汉江,570,1,61804110,皇庄,0,1786648800000,5,4,47.19
1,0,9540,汉江,570,1,61804110,皇庄,0,1786652100000,5,6,47.21
1,0,9540,汉江,570,1,61804110,皇庄,0,1786656300000,5,6,47.21
1,0,9540,汉江,570,1,61804110,皇庄,0,1786659600000,5,6,47.21
1,0,9550,汉江,570,1,61804110,皇庄,0,1786663200000,5,6,47.22
1,0,9550,汉江,570,1,61804110,皇庄,0,1786667700000,5,6,47.22
1,0,9240,汉江,570,1,61804110,皇庄,0,1786676700000,5,5,47.22
1,0,9240,汉江,570,1,61804110,皇庄,0,1786683300000,5,5,47.22
1,0,9220,汉江,570,1,61804110,皇庄,0,1786689300000,5,4,47.2
1,0,9240,汉江,570,1,61804110,皇庄,0,1786694100000,5,5,47.22
