kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江,50,1,60112900,黄石港,1,1786201200000,5,6,17.36
1,0,0,长江,50,1,60112900,黄石港,1,1786204800000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786208400000,5,5,17.36
1,0,0,长江,50,1,60112900,黄石港,1,1786212000000,5,4,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786215600000,5,6,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786219200000,5,6,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786222800000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786226400000,5,5,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786230000000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786240800000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786244400000,5,6,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786251600000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786255200000,5,4,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786258800000,5,5,17.33
1,0,0,长江,50,1,60112900,黄石港,1,1786262400000,5,6,17.33
1,0,0,长江,50,1,60112900,黄石港,1,1786266000000,5,4,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786269600000,5,6,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786273200000,5,5,17.33
1,0,0,长江,50,1,60112900,黄石港,1,1786280400000,5,5,17.33
1,0,0,长江,50,1,60112900,黄石港,1,1786284000000,5,4,17.31
1,0,0,长江,50,1,60112900,黄石港,1,1786287600000,5,5,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786291200000,5,4,17.31
1,0,0,长江,50,1,60112900,黄石港,1,1786294800000,5,6,17.31
1,0,0,长江,50,1,60112900,黄石港,1,1786298400000,5,4,17.3
1,0,0,长江,50,1,60112900,黄石港,1,1786302000000,5,6,17.3
1,0,0,长江,50,1,60112900,黄石港,1,1786305600000,5,6,17.3
1,0,0,长江,50,1,60112900,黄石港,1,1786309200000,5,6,17.3
1,0,0,长江,50,1,60112900,黄石港,1,1786312800000,5,4,17.29
1,0,0,长江,50,1,60112900,黄石港,1,1786316400000,5,6,17.29
1,0,0,长江,50,1,60112900,黄石港,1,1786320000000,5,4,17.28
1,0,0,长江,50,1,60112900,黄石港,1,1786327200000,5,4,17.28
1,0,0,长江,50,1,60112900,黄石港,1,1786334400000,5,5,17.28
1,0,0,长江,50,1,60112900,黄石港,1,1786341600000,5,4,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786348800000,5,5,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786352400000,5,4,17.26
1,0,0,长江,50,1,60112900,黄石港,1,1786359600000,5,6,17.26
1,0,0,长江,50,1,60112900,黄石港,1,1786363200000,5,5,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786366800000,5,5,17.28
1,0,0,长江,50,1,60112900,黄石港,1,1786374000000,5,5,17.29
1,0,0,长江,50,1,60112900,黄石港,1,1786377600000,5,5,17.3
1,0,0,长江,50,1,60112900,黄石港,1,1786381200000,5,6,17.3
1,0,0,长江,50,1,60112900,黄石港,1,1786388400000,5,5,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786392000000,5,4,17.31
1,0,0,长江,50,1,60112900,黄石港,1,1786395600000,5,5,17.33
1,0,0,长江,50,1,60112900,黄石港,1,1786399200000,5,4,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786402800000,5,5,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786413600000,5,5,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786417200000,5,4,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786424400000,5,5,17.36
1,0,0,长江,50,1,60112900,黄石港,1,1786428000000,5,6,17.36
1,0,0,长江,50,1,60112900,黄石港,1,1786431600000,5,5,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786438800000,5,6,17.36
1,0,0,长江,50,1,60112900,黄石港,1,1786442400000,5,5,17.38
1,0,0,长江,50,1,60112900,黄石港,1,1786446000000,5,6,17.38
1,0,0,长江,50,1,60112900,黄石港,1,1786453200000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786456800000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786460400000,5,5,17.38
1,0,0,长江,50,1,60112900,黄石港,1,1786464000000,5,6,17.38
1,0,0,长江,50,1,60112900,黄石港,1,1786467600000,5,4,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786471200000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786474800000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786478400000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786482000000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786485600000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786489200000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786492800000,5,6,17.37
1,0,0,长江,50,1,60112900,黄石港,1,1786503600000,5,4,17.35
1,0,0,长江,50,1,60112900,黄石港,1,1786507200000,5,5,17.36
1,0,0,长江,50,1,60112900,黄石港,1,1786514400000,5,6,17.34
1,0,0,长江,50,1,60112900,黄石港,1,1786521600000,5,4,17.33
1,0,0,长江,50,1,60112900,黄石港,1,1786525200000,5,4,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786528800000,5,6,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786532400000,5,6,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786536000000,5,6,17.32
1,0,0,长江,50,1,60112900,黄石港,1,1786543200000,5,4,17.31
1,0,0,长江,50,1,60112900,黄石港,1,1786546800000,5,6,17.31
1,0,0,长江,50,1,60112900,黄石港,1,1786550400000,5,4,17.3
1,0,0,长江,50,1,60112900,黄石港,1,1786554000000,5,6,17.3
1,0,0,长江,50,1,60112900,黄石港,1,1786561200000,5,4,17.28
1,0,0,长江,50,1,60112900,黄石港,1,1786564800000,5,6,17.28
1,0,0,长江,50,1,60112900,黄石港,1,1786568400000,5,6,17.28
1,0,0,长江,50,1,60112900,黄石港,1,1786572000000,5,4,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786575600000,5,5,17.28
1,0,0,长江,50,1,60112900,黄石港,1,1786579200000,5,4,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786590000000,5,4,17.26
1,0,0,长江,50,1,60112900,黄石港,1,1786597200000,5,6,17.26
1,0,0,长江,50,1,60112900,黄石港,1,1786600800000,5,6,17.26
1,0,0,长江,50,1,60112900,黄石港,1,1786604400000,5,5,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786611600000,5,6,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786615200000,5,6,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786618800000,5,6,17.27
1,0,0,长江,50,1,60112900,黄石港,1,1786622400000,5,6,17.27
