kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江中游,140,1,61505001,三不管,0,1786201200000,5,4,33.47
1,0,0,长江中游,140,1,61505001,三不管,0,1786204800000,5,4,33.44
1,0,0,长江中游,140,1,61505001,三不管,0,1786208400000,5,4,33.41
1,0,0,长江中游,140,1,61505001,三不管,0,1786212000000,5,4,33.38
1,0,0,长江中游,140,1,61505001,三不管,0,1786215600000,5,4,33.34
1,0,0,长江中游,140,1,61505001,三不管,0,1786219200000,5,4,33.3
1,0,0,长江中游,140,1,61505001,三不管,0,1786222800000,5,4,33.28
1,0,0,长江中游,140,1,61505001,三不管,0,1786226400000,5,4,33.24
1,0,0,长江中游,140,1,61505001,三不管,0,1786230000000,5,4,33.21
1,0,0,长江中游,140,1,61505001,三不管,0,1786240800000,5,4,33.11
1,0,0,长江中游,140,1,61505001,三不管,0,1786244400000,5,4,33.07
1,0,0,长江中游,140,1,61505001,三不管,0,1786251600000,5,4,32.99
1,0,0,长江中游,140,1,61505001,三不管,0,1786255200000,5,4,32.96
1,0,0,长江中游,140,1,61505001,三不管,0,1786258800000,5,4,32.92
1,0,0,长江中游,140,1,61505001,三不管,0,1786262400000,5,4,32.88
1,0,0,长江中游,140,1,61505001,三不管,0,1786266000000,5,4,32.85
1,0,0,长江中游,140,1,61505001,三不管,0,1786269600000,5,4,32.81
1,0,0,长江中游,140,1,61505001,三不管,0,1786273200000,5,4,32.79
1,0,0,长江中游,140,1,61505001,三不管,0,1786280400000,5,4,32.72
1,0,0,长江中游,140,1,61505001,三不管,0,1786284000000,5,4,32.69
1,0,0,长江中游,140,1,61505001,三不管,0,1786287600000,5,4,32.66
1,0,0,长江中游,140,1,61505001,三不管,0,1786291200000,5,4,32.63
1,0,0,长江中游,140,1,61505001,三不管,0,1786294800000,5,4,32.6
1,0,0,长江中游,140,1,61505001,三不管,0,1786298400000,5,4,32.59
1,0,0,长江中游,140,1,61505001,三不管,0,1786302000000,5,6,32.59
1,0,0,长江中游,140,1,61505001,三不管,0,1786305600000,5,6,32.59
1,0,0,长江中游,140,1,61505001,三不管,0,1786309200000,5,6,32.59
1,0,0,长江中游,140,1,61505001,三不管,0,1786312800000,5,6,32.59
1,0,0,长江中游,140,1,61505001,三不管,0,1786316400000,5,6,32.59
1,0,0,长江中游,140,1,61505001,三不管,0,1786320000000,5,6,32.59
1,0,0,长江中游,140,1,61505001,三不管,0,1786327200000,5,4,32.53
1,0,0,长江中游,140,1,61505001,三不管,0,1786334400000,5,4,32.48
1,0,0,长江中游,140,1,61505001,三不管,0,1786341600000,5,4,32.43
1,0,0,长江中游,140,1,61505001,三不管,0,1786348800000,5,4,32.38
1,0,0,长江中游,140,1,61505001,三不管,0,1786352400000,5,4,32.35
1,0,0,长江中游,140,1,61505001,三不管,0,1786359600000,5,4,32.31
1,0,0,长江中游,140,1,61505001,三不管,0,1786363200000,5,4,32.28
1,0,0,长江中游,140,1,61505001,三不管,0,1786366800000,5,6,32.28
1,0,0,长江中游,140,1,61505001,三不管,0,1786374000000,5,5,32.31
1,0,0,长江中游,140,1,61505001,三不管,0,1786377600000,5,5,32.32
1,0,0,长江中游,140,1,61505001,三不管,0,1786381200000,5,6,32.32
1,0,0,长江中游,140,1,61505001,三不管,0,1786388400000,5,6,32.33
1,0,0,长江中游,140,1,61505001,三不管,0,1786392000000,5,5,32.35
1,0,0,长江中游,140,1,61505001,三不管,0,1786395600000,5,6,32.35
1,0,0,长江中游,140,1,61505001,三不管,0,1786399200000,5,6,32.35
1,0,0,长江中游,140,1,61505001,三不管,0,1786402800000,5,5,32.36
1,0,0,长江中游,140,1,61505001,三不管,0,1786413600000,5,5,32.38
