oq,q,stcd,stnm,tm,wptn,z,rvnm
,31100,60113500,八里江,1786201200000,5,13.673,长江干流
,31100,60113500,八里江,1786204800000,5,13.677,长江干流
,31100,60113500,八里江,1786208400000,4,13.667,长江干流
,31100,60113500,八里江,1786212000000,6,13.667,长江干流
,31100,60113500,八里江,1786215600000,5,13.674,长江干流
,31100,60113500,八里江,1786219200000,4,13.669,长江干流
,31100,60113500,八里江,1786222800000,4,13.661,长江干流
,31100,60113500,八里江,1786226400000,5,13.675,长江干流
,31000,60113500,八里江,1786230000000,4,13.652,长江干流
,30800,60113500,八里江,1786240800000,4,13.591,长江干流
,30700,60113500,八里江,1786244400000,4,13.565,长江干流
,30800,60113500,八里江,1786251600000,5,13.58,长江干流
,30800,60113500,八里江,1786255200000,5,13.582,长江干流
,30700,60113500,八里江,1786258800000,4,13.575,长江干流
,30700,60113500,八里江,1786262400000,4,13.563,长江干流
,30600,60113500,八里江,1786266000000,4,13.537,长江干流
,30500,60113500,八里江,1786269600000,4,13.516,长江干流
,30500,60113500,八里江,1786273200000,4,13.504,长江干流
,30500,60113500,八里江,1786280400000,4,13.499,长江干流
,30500,60113500,八里江,1786284000000,5,13.512,长江干流
,30500,60113500,八里江,1786287600000,5,13.525,长江干流
,30500,60113500,八里江,1786291200000,6,13.525,长江干流
,30600,60113500,八里江,1786294800000,5,13.529,长江干流
,30600,60113500,八里江,1786298400000,5,13.537,长江干流
,30500,60113500,八里江,1786302000000,4,13.516,长江干流
,30500,60113500,八里江,1786305600000,5,13.518,长江干流
,30500,60113500,八里江,1786309200000,4,13.51,长江干流
,30400,60113500,八里江,1786312800000,4,13.492,长江干流
,30500,60113500,八里江,1786316400000,5,13.509,长江干流
,30500,60113500,八里江,1786320000000,4,13.508,长江干流
,30400,60113500,八里江,1786327200000,4,13.497,长江干流
,30400,60113500,八里江,1786334400000,5,13.489,长江干流
,30400,60113500,八里江,1786341600000,4,13.491,长江干流
,30700,60113500,八里江,1786348800000,5,13.559,长江干流
,30700,60113500,八里江,1786352400000,5,13.563,长江干流
,30900,60113500,八里江,1786359600000,5,13.624,长江干流
,31000,60113500,八里江,1786363200000,5,13.648,长江干流
,31100,60113500,八里江,1786366800000,5,13.664,长江干流
,31100,60113500,八里江,1786374000000,5,13.687,长江干流
,31200,60113500,八里江,1786377600000,5,13.702,长江干流
,31200,60113500,八里江,1786381200000,5,13.706,长江干流
,31300,60113500,八里江,1786388400000,5,13.716,长江干流
,31300,60113500,八里江,1786392000000,5,13.722,长江干流
,31300,60113500,八里江,1786395600000,4,13.721,长江干流
,31300,60113500,八里江,1786399200000,5,13.737,长江干流
,31400,60113500,八里江,1786402800000,5,13.744,长江干流
,31500,60113500,八里江,1786413600000,5,13.773,长江干流
,31500,60113500,八里江,1786417200000,5,13.78,长江干流
,31500,60113500,八里江,1786424400000,4,13.787,长江干流
,31500,60113500,八里江,1786428000000,5,13.79,长江干流
,31500,60113500,八里江,1786431600000,4,13.789,长江干流
,31500,60113500,八里江,1786438800000,5,13.793,长江干流
,31600,60113500,八里江,1786442400000,5,13.802,长江干流
,31600,60113500,八里江,1786446000000,5,13.806,长江干流
