kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786201200000,6,6,34.080
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786204800000,6,5,34.090
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786208400000,6,5,34.130
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786212000000,6,5,34.140
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786215600000,6,6,34.140
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786219200000,6,4,34.130
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786222800000,6,4,34.110
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786226400000,6,4,34.080
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786230000000,6,4,34.060
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786240800000,6,4,33.960
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786244400000,6,4,33.940
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786251600000,6,4,33.870
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786255200000,6,4,33.820
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786258800000,6,4,33.800
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786262400000,6,4,33.750
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786266000000,6,4,33.730
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786269600000,6,4,33.690
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786273200000,6,4,33.670
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786280400000,6,6,33.670
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786284000000,6,5,33.680
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786287600000,6,5,33.700
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786291200000,6,5,33.720
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786294800000,6,6,33.720
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786298400000,6,6,33.720
1,荆江,0,25,0,0,0,0,0,1,60107411,大埠街,0,1786302000000,6,6,33.720
