q,tm,wptn,z,stcd,stnm,www,rvnm
279.0,1786201200000,4,238.28,61812100,向家坪(二),1,汉江
277.0,1786204800000,4,238.27,61812100,向家坪(二),1,汉江
277.0,1786208400000,6,238.27,61812100,向家坪(二),1,汉江
273.0,1786212000000,4,238.25,61812100,向家坪(二),1,汉江
275.0,1786215600000,5,238.26,61812100,向家坪(二),1,汉江
277.0,1786219200000,5,238.27,61812100,向家坪(二),1,汉江
271.0,1786222800000,4,238.24,61812100,向家坪(二),1,汉江
273.0,1786226400000,5,238.25,61812100,向家坪(二),1,汉江
271.0,1786230000000,4,238.24,61812100,向家坪(二),1,汉江
191.0,1786240800000,4,237.76,61812100,向家坪(二),1,汉江
208.0,1786244400000,5,237.87,61812100,向家坪(二),1,汉江
225.0,1786251600000,4,237.97,61812100,向家坪(二),1,汉江
210.0,1786255200000,4,237.88,61812100,向家坪(二),1,汉江
215.0,1786258800000,5,237.91,61812100,向家坪(二),1,汉江
275.0,1786262400000,5,238.26,61812100,向家坪(二),1,汉江
307.0,1786266000000,5,238.4,61812100,向家坪(二),1,汉江
273.0,1786269600000,4,238.25,61812100,向家坪(二),1,汉江
247.0,1786273200000,4,238.11,61812100,向家坪(二),1,汉江
210.0,1786280400000,4,237.88,61812100,向家坪(二),1,汉江
167.0,1786284000000,4,237.6,61812100,向家坪(二),1,汉江
171.0,1786287600000,5,237.63,61812100,向家坪(二),1,汉江
243.0,1786291200000,5,238.09,61812100,向家坪(二),1,汉江
273.0,1786294800000,5,238.25,61812100,向家坪(二),1,汉江
250.0,1786298400000,4,238.13,61812100,向家坪(二),1,汉江
236.0,1786302000000,4,238.03,61812100,向家坪(二),1,汉江
215.0,1786305600000,4,237.91,61812100,向家坪(二),1,汉江
201.0,1786309200000,4,237.83,61812100,向家坪(二),1,汉江
196.0,1786312800000,4,237.8,61812100,向家坪(二),1,汉江
195.0,1786316400000,4,237.79,61812100,向家坪(二),1,汉江
193.0,1786320000000,4,237.78,61812100,向家坪(二),1,汉江
192.0,1786327200000,4,237.77,61812100,向家坪(二),1,汉江
192.0,1786334400000,5,237.77,61812100,向家坪(二),1,汉江
191.0,1786341600000,6,237.76,61812100,向家坪(二),1,汉江
176.0,1786348800000,4,237.66,61812100,向家坪(二),1,汉江
171.0,1786352400000,4,237.63,61812100,向家坪(二),1,汉江
170.0,1786359600000,4,237.62,61812100,向家坪(二),1,汉江
167.0,1786363200000,4,237.6,61812100,向家坪(二),1,汉江
168.0,1786370400000,6,237.61,61812100,向家坪(二),1,汉江
164.0,1786374000000,4,237.58,61812100,向家坪(二),1,汉江
159.0,1786377600000,4,237.55,61812100,向家坪(二),1,汉江
156.0,1786381200000,4,237.53,61812100,向家坪(二),1,汉江
155.0,1786384800000,4,237.52,61812100,向家坪(二),1,汉江
156.0,1786388400000,5,237.53,61812100,向家坪(二),1,汉江
156.0,1786392000000,6,237.53,61812100,向家坪(二),1,汉江
156.0,1786395600000,6,237.53,61812100,向家坪(二),1,汉江
158.0,1786399200000,5,237.54,61812100,向家坪(二),1,汉江
155.0,1786402800000,4,237.52,61812100,向家坪(二),1,汉江
149.0,1786413600000,4,237.48,61812100,向家坪(二),1,汉江
135.0,1786420800000,4,237.38,61812100,向家坪(二),1,汉江
134.0,1786424400000,4,237.37,61812100,向家坪(二),1,汉江
134.0,1786428000000,6,237.37,61812100,向家坪(二),1,汉江
132.0,1786431600000,4,237.36,61812100,向家坪(二),1,汉江
143.0,1786438800000,5,237.44,61812100,向家坪(二),1,汉江
148.0,1786442400000,5,237.47,61812100,向家坪(二),1,汉江
151.0,1786446000000,5,237.49,61812100,向家坪(二),1,汉江
149.0,1786453200000,4,237.48,61812100,向家坪(二),1,汉江
149.0,1786456800000,6,237.48,61812100,向家坪(二),1,汉江
143.0,1786460400000,4,237.44,61812100,向家坪(二),1,汉江
132.0,1786464000000,4,237.36,61812100,向家坪(二),1,汉江
126.0,1786467600000,4,237.31,61812100,向家坪(二),1,汉江
120.0,1786471200000,4,237.27,61812100,向家坪(二),1,汉江
