oq,q,stcd,stnm,tm,wptn,z,rvnm
,,60113900,彭泽,1786201200000,5,13.028,长江干流
,,60113900,彭泽,1786204800000,6,13.028,长江干流
,,60113900,彭泽,1786208400000,4,13.023,长江干流
,,60113900,彭泽,1786212000000,5,13.028,长江干流
,,60113900,彭泽,1786215600000,5,13.03,长江干流
,,60113900,彭泽,1786219200000,6,13.03,长江干流
,,60113900,彭泽,1786222800000,4,13.022,长江干流
,,60113900,彭泽,1786226400000,5,13.03,长江干流
,,60113900,彭泽,1786230000000,4,13.007,长江干流
,,60113900,彭泽,1786240800000,4,12.959,长江干流
,,60113900,彭泽,1786244400000,4,12.94,长江干流
,,60113900,彭泽,1786251600000,5,12.957,长江干流
,,60113900,彭泽,1786255200000,4,12.947,长江干流
,,60113900,彭泽,1786258800000,4,12.931,长江干流
,,60113900,彭泽,1786262400000,5,12.941,长江干流
,,60113900,彭泽,1786266000000,4,12.912,长江干流
,,60113900,彭泽,1786269600000,4,12.893,长江干流
,,60113900,彭泽,1786273200000,5,12.897,长江干流
,,60113900,彭泽,1786280400000,5,12.878,长江干流
,,60113900,彭泽,1786284000000,5,12.888,长江干流
,,60113900,彭泽,1786287600000,5,12.891,长江干流
,,60113900,彭泽,1786291200000,4,12.884,长江干流
,,60113900,彭泽,1786294800000,5,12.911,长江干流
,,60113900,彭泽,1786298400000,4,12.898,长江干流
,,60113900,彭泽,1786302000000,6,12.898,长江干流
,,60113900,彭泽,1786305600000,5,12.902,长江干流
,,60113900,彭泽,1786309200000,6,12.902,长江干流
,,60113900,彭泽,1786312800000,4,12.876,长江干流
,,60113900,彭泽,1786316400000,5,12.886,长江干流
,,60113900,彭泽,1786320000000,4,12.885,长江干流
,,60113900,彭泽,1786327200000,4,12.871,长江干流
,,60113900,彭泽,1786334400000,5,12.886,长江干流
,,60113900,彭泽,1786341600000,4,12.872,长江干流
,,60113900,彭泽,1786348800000,5,12.921,长江干流
,,60113900,彭泽,1786352400000,5,12.946,长江干流
,,60113900,彭泽,1786359600000,5,12.993,长江干流
,,60113900,彭泽,1786363200000,5,13.015,长江干流
,,60113900,彭泽,1786366800000,5,13.027,长江干流
,,60113900,彭泽,1786374000000,5,13.064,长江干流
,,60113900,彭泽,1786377600000,5,13.072,长江干流
,,60113900,彭泽,1786381200000,5,13.081,长江干流
,,60113900,彭泽,1786388400000,5,13.098,长江干流
,,60113900,彭泽,1786392000000,5,13.103,长江干流
,,60113900,彭泽,1786395600000,5,13.104,长江干流
,,60113900,彭泽,1786399200000,5,13.113,长江干流
,,60113900,彭泽,1786402800000,5,13.125,长江干流
,,60113900,彭泽,1786413600000,5,13.155,长江干流
,,60113900,彭泽,1786417200000,5,13.157,长江干流
,,60113900,彭泽,1786424400000,4,13.174,长江干流
,,60113900,彭泽,1786428000000,5,13.178,长江干流
,,60113900,彭泽,1786431600000,5,13.19,长江干流
,,60113900,彭泽,1786438800000,4,13.175,长江干流
,,60113900,彭泽,1786442400000,5,13.195,长江干流
,,60113900,彭泽,1786446000000,5,13.212,长江干流
,,60113900,彭泽,1786453200000,4,13.204,长江干流
,,60113900,彭泽,1786456800000,5,13.208,长江干流
,,60113900,彭泽,1786460400000,6,13.208,长江干流
,,60113900,彭泽,1786464000000,4,13.194,长江干流
,,60113900,彭泽,1786467600000,5,13.209,长江干流
,,60113900,彭泽,1786471200000,5,13.213,长江干流
,,60113900,彭泽,1786474800000,4,13.21,长江干流
,,60113900,彭泽,1786478400000,4,13.209,长江干流
,,60113900,彭泽,1786482000000,5,13.212,长江干流
,,60113900,彭泽,1786485600000,5,13.215,长江干流
,,60113900,彭泽,1786489200000,4,13.212,长江干流
,,60113900,彭泽,1786492800000,5,13.218,长江干流
,,60113900,彭泽,1786503600000,5,13.228,长江干流
,,60113900,彭泽,1786507200000,4,13.226,长江干流
,,60113900,彭泽,1786514400000,4,13.226,长江干流
,,60113900,彭泽,1786518000000,4,13.225,长江干流
,,60113900,彭泽,1786525200000,5,13.232,长江干流
,,60113900,彭泽,1786528800000,5,13.235,长江干流
,,60113900,彭泽,1786532400000,4,13.231,长江干流
,,60113900,彭泽,1786536000000,6,13.231,长江干流
,,60113900,彭泽,1786543200000,4,13.229,长江干流
,,60113900,彭泽,1786546800000,6,13.229,长江干流
,,60113900,彭泽,1786550400000,5,13.234,长江干流
,,60113900,彭泽,1786554000000,4,13.229,长江干流
,,60113900,彭泽,1786557600000,4,13.227,长江干流
,,60113900,彭泽,1786561200000,4,13.216,长江干流
,,60113900,彭泽,1786564800000,5,13.228,长江干流
,,60113900,彭泽,1786568400000,5,13.231,长江干流
,,60113900,彭泽,1786572000000,6,13.231,长江干流
,,60113900,彭泽,1786575600000,5,13.233,长江干流
,,60113900,彭泽,1786579200000,6,13.233,长江干流
,,60113900,彭泽,1786590000000,4,13.227,长江干流
,,60113900,彭泽,1786597200000,5,13.231,长江干流
,,60113900,彭泽,1786600800000,4,13.225,长江干流
,,60113900,彭泽,1786608000000,5,13.229,长江干流
,,60113900,彭泽,1786611600000,5,13.249,长江干流
,,60113900,彭泽,1786615200000,5,13.26,长江干流
,,60113900,彭泽,1786618800000,4,13.25,长江干流
,,60113900,彭泽,1786622400000,4,13.242,长江干流
,,60113900,彭泽,1786629600000,4,13.223,长江干流
,,60113900,彭泽,1786633200000,4,13.214,长江干流
,,60113900,彭泽,1786636800000,4,13.194,长江干流
,,60113900,彭泽,1786640400000,4,13.188,长江干流
,,60113900,彭泽,1786644000000,4,13.18,长江干流
,,60113900,彭泽,1786647600000,5,13.183,长江干流
,,60113900,彭泽,1786651200000,4,13.172,长江干流
,,60113900,彭泽,1786654800000,5,13.203,长江干流
,,60113900,彭泽,1786658400000,5,13.208,长江干流
,,60113900,彭泽,1786662000000,5,13.214,长江干流
,,60113900,彭泽,1786665600000,5,13.218,长江干流
,,60113900,彭泽,1786676400000,5,13.232,长江干流
,,60113900,彭泽,1786683600000,5,13.238,长江干流
,,60113900,彭泽,1786687200000,6,13.238,长江干流
,,60113900,彭泽,1786690800000,5,13.239,长江干流
,,60113900,彭泽,1786698000000,5,13.242,长江干流
,,60113900,彭泽,1786701600000,5,13.247,长江干流
,,60113900,彭泽,1786705200000,5,13.25,长江干流
,,60113900,彭泽,1786708800000,5,13.257,长江干流
,,60113900,彭泽,1786712400000,5,13.265,长江干流
,,60113900,彭泽,1786719600000,4,13.274,长江干流
,,60113900,彭泽,1786723200000,5,13.296,长江干流
,,60113900,彭泽,1786726800000,6,13.296,长江干流
,,60113900,彭泽,1786730400000,6,13.296,长江干流
,,60113900,彭泽,1786734000000,5,13.298,长江干流
,,60113900,彭泽,1786737600000,5,13.305,长江干流
,,60113900,彭泽,1786741200000,4,13.304,长江干流
,,60113900,彭泽,1786744800000,5,13.319,长江干流
,,60113900,彭泽,1786748400000,5,13.33,长江干流
,,60113900,彭泽,1786755600000,5,13.338,长江干流
,,60113900,彭泽,1786762800000,5,13.359,长江干流
,,60113900,彭泽,1786766400000,4,13.355,长江干流
,,60113900,彭泽,1786770000000,4,13.354,长江干流
,,60113900,彭泽,1786773600000,5,13.368,长江干流
,,60113900,彭泽,1786777200000,4,13.363,长江干流
,,60113900,彭泽,1786780800000,5,13.364,长江干流
,,60113900,彭泽,1786784400000,5,13.374,长江干流
,,60113900,彭泽,1786788000000,5,13.379,长江干流
,,60113900,彭泽,1786791600000,5,13.386,长江干流
,,60113900,彭泽,1786795200000,5,13.394,长江干流
,,60113900,彭泽,1786798800000,5,13.397,长江干流
,,60113900,彭泽,1786802400000,5,13.402,长江干流
,,60113900,彭泽,1786806000000,5,13.414,长江干流
,,60113900,彭泽,1786809600000,5,13.426,长江干流
,,60113900,彭泽,1786813200000,5,13.431,长江干流
,,60113900,彭泽,1786816800000,5,13.435,长江干流
,,60113900,彭泽,1786820400000,5,13.439,长江干流
