kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,1470,草尾河,280,1,61508000,草尾,0,1786201200000,5,6,30.15
1,0,1460,草尾河,280,1,61508000,草尾,0,1786204800000,5,4,30.14
1,0,1460,草尾河,280,1,61508000,草尾,0,1786208400000,5,4,30.13
1,0,1450,草尾河,280,1,61508000,草尾,0,1786212000000,5,4,30.12
1,0,1450,草尾河,280,1,61508000,草尾,0,1786215600000,5,4,30.11
1,0,1430,草尾河,280,1,61508000,草尾,0,1786219200000,5,4,30.1
1,0,1430,草尾河,280,1,61508000,草尾,0,1786222800000,5,4,30.09
1,0,1420,草尾河,280,1,61508000,草尾,0,1786226400000,5,4,30.08
1,0,1410,草尾河,280,1,61508000,草尾,0,1786230000000,5,4,30.07
1,0,1410,草尾河,280,1,61508000,草尾,0,1786240800000,5,4,30.05
1,0,1400,草尾河,280,1,61508000,草尾,0,1786244400000,5,4,30.04
1,0,1390,草尾河,280,1,61508000,草尾,0,1786251600000,5,4,30.02
1,0,1380,草尾河,280,1,61508000,草尾,0,1786255200000,5,4,30.01
1,0,1370,草尾河,280,1,61508000,草尾,0,1786258800000,5,4,30
1,0,1350,草尾河,280,1,61508000,草尾,0,1786262400000,5,4,29.98
1,0,1360,草尾河,280,1,61508000,草尾,0,1786266000000,5,6,29.98
1,0,1340,草尾河,280,1,61508000,草尾,0,1786269600000,5,4,29.96
1,0,1330,草尾河,280,1,61508000,草尾,0,1786273200000,5,4,29.95
1,0,1320,草尾河,280,1,61508000,草尾,0,1786280400000,5,4,29.92
1,0,1310,草尾河,280,1,61508000,草尾,0,1786284000000,5,4,29.91
1,0,1300,草尾河,280,1,61508000,草尾,0,1786287600000,5,4,29.9
1,0,1300,草尾河,280,1,61508000,草尾,0,1786291200000,5,4,29.89
1,0,1280,草尾河,280,1,61508000,草尾,0,1786294800000,5,4,29.87
