oq,q,stcd,stnm,tm,wptn,z,rvnm
0,0,60105700,清溪场,1786197600000,5,158.58,长江干流
0,0,60105700,清溪场,1786201200000,5,158.59,长江干流
0,0,60105700,清溪场,1786204800000,6,158.59,长江干流
0,0,60105700,清溪场,1786208400000,4,158.57,长江干流
0,0,60105700,清溪场,1786212000000,4,158.56,长江干流
0,0,60105700,清溪场,1786215600000,6,158.56,长江干流
0,0,60105700,清溪场,1786219200000,6,158.56,长江干流
0,0,60105700,清溪场,1786222800000,5,158.59,长江干流
0,0,60105700,清溪场,1786226400000,5,158.62,长江干流
0,0,60105700,清溪场,1786230000000,5,158.68,长江干流
0,0,60105700,清溪场,1786237200000,5,158.75,长江干流
0,0,60105700,清溪场,1786244400000,5,158.79,长江干流
0,0,60105700,清溪场,1786248000000,5,158.81,长江干流
0,0,60105700,清溪场,1786251600000,5,158.84,长江干流
0,0,60105700,清溪场,1786255200000,6,158.84,长江干流
0,0,60105700,清溪场,1786258800000,6,158.84,长江干流
0,0,60105700,清溪场,1786262400000,5,158.86,长江干流
0,0,60105700,清溪场,1786266000000,5,158.87,长江干流
0,0,60105700,清溪场,1786269600000,5,158.88,长江干流
0,0,60105700,清溪场,1786276800000,5,158.89,长江干流
0,0,60105700,清溪场,1786280400000,5,158.92,长江干流
0,0,60105700,清溪场,1786284000000,5,158.95,长江干流
0,0,60105700,清溪场,1786287600000,5,158.96,长江干流
0,0,60105700,清溪场,1786291200000,4,158.95,长江干流
0,0,60105700,清溪场,1786294800000,4,158.93,长江干流
0,0,60105700,清溪场,1786298400000,5,158.96,长江干流
0,0,60105700,清溪场,1786302000000,4,158.94,长江干流
0,0,60105700,清溪场,1786305600000,4,158.91,长江干流
0,0,60105700,清溪场,1786309200000,5,158.93,长江干流
0,0,60105700,清溪场,1786312800000,5,158.97,长江干流
0,0,60105700,清溪场,1786316400000,5,159.01,长江干流
0,0,60105700,清溪场,1786327200000,5,159.1,长江干流
0,0,60105700,清溪场,1786330800000,5,159.12,长江干流
,,60105700,清溪场,1786341600000,6,159.140,长江干流
0,0,60105700,清溪场,1786345200000,6,159.14,长江干流
