oq,q,stcd,stnm,tm,wptn,z,rvnm
,,60116000,慈湖,1786201200000,4,6.3,长江干流
,,60116000,慈湖,1786204800000,4,6.28,长江干流
,,60116000,慈湖,1786208400000,4,6.27,长江干流
,,60116000,慈湖,1786212000000,5,6.31,长江干流
,,60116000,慈湖,1786215600000,5,6.46,长江干流
,,60116000,慈湖,1786219200000,5,6.61,长江干流
,,60116000,慈湖,1786222800000,5,6.72,长江干流
,,60116000,慈湖,1786226400000,5,6.75,长江干流
,,60116000,慈湖,1786230000000,4,6.74,长江干流
,,60116000,慈湖,1786240800000,4,6.65,长江干流
,,60116000,慈湖,1786244400000,4,6.6,长江干流
,,60116000,慈湖,1786251600000,4,6.51,长江干流
,,60116000,慈湖,1786255200000,4,6.48,长江干流
,,60116000,慈湖,1786258800000,4,6.46,长江干流
,,60116000,慈湖,1786262400000,6,6.46,长江干流
,,60116000,慈湖,1786266000000,5,6.51,长江干流
,,60116000,慈湖,1786269600000,5,6.58,长江干流
,,60116000,慈湖,1786273200000,5,6.62,长江干流
,,60116000,慈湖,1786280400000,4,6.62,长江干流
,,60116000,慈湖,1786284000000,4,6.6,长江干流
,,60116000,慈湖,1786287600000,4,6.58,长江干流
,,60116000,慈湖,1786291200000,4,6.55,长江干流
,,60116000,慈湖,1786294800000,4,6.53,长江干流
,,60116000,慈湖,1786298400000,4,6.49,长江干流
,,60116000,慈湖,1786302000000,5,6.5,长江干流
,,60116000,慈湖,1786305600000,5,6.69,长江干流
,,60116000,慈湖,1786309200000,5,6.91,长江干流
,,60116000,慈湖,1786312800000,5,7.04,长江干流
,,60116000,慈湖,1786316400000,5,7.11,长江干流
,,60116000,慈湖,1786320000000,4,7.1,长江干流
,,60116000,慈湖,1786327200000,4,7.04,长江干流
,,60116000,慈湖,1786334400000,4,6.95,长江干流
,,60116000,慈湖,1786341600000,4,6.92,长江干流
,,60116000,慈湖,1786348800000,6,6.93,长江干流
,,60116000,慈湖,1786352400000,5,7,长江干流
,,60116000,慈湖,1786359600000,5,7.23,长江干流
,,60116000,慈湖,1786363200000,5,7.3,长江干流
,,60116000,慈湖,1786366800000,5,7.32,长江干流
,,60116000,慈湖,1786374000000,4,7.31,长江干流
,,60116000,慈湖,1786377600000,4,7.29,长江干流
,,60116000,慈湖,1786381200000,4,7.25,长江干流
,,60116000,慈湖,1786388400000,4,7.19,长江干流
,,60116000,慈湖,1786392000000,4,7.17,长江干流
,,60116000,慈湖,1786395600000,5,7.21,长江干流
,,60116000,慈湖,1786399200000,5,7.44,长江干流
,,60116000,慈湖,1786402800000,5,7.66,长江干流
,,60116000,慈湖,1786413600000,4,7.67,长江干流
,,60116000,慈湖,1786417200000,4,7.63,长江干流
,,60116000,慈湖,1786424400000,4,7.53,长江干流
,,60116000,慈湖,1786428000000,4,7.48,长江干流
,,60116000,慈湖,1786431600000,4,7.45,长江干流
,,60116000,慈湖,1786438800000,4,7.36,长江干流
,,60116000,慈湖,1786442400000,4,7.34,长江干流
,,60116000,慈湖,1786446000000,5,7.42,长江干流
,,60116000,慈湖,1786453200000,5,7.52,长江干流
,,60116000,慈湖,1786456800000,6,7.52,长江干流
,,60116000,慈湖,1786460400000,4,7.49,长江干流
,,60116000,慈湖,1786464000000,4,7.45,长江干流
,,60116000,慈湖,1786467600000,4,7.42,长江干流
,,60116000,慈湖,1786471200000,4,7.38,长江干流
,,60116000,慈湖,1786474800000,4,7.34,长江干流
,,60116000,慈湖,1786478400000,4,7.31,长江干流
,,60116000,慈湖,1786482000000,4,7.28,长江干流
,,60116000,慈湖,1786485600000,5,7.32,长江干流
,,60116000,慈湖,1786489200000,5,7.61,长江干流
,,60116000,慈湖,1786492800000,5,7.82,长江干流
,,60116000,慈湖,1786503600000,4,7.81,长江干流
,,60116000,慈湖,1786507200000,4,7.76,长江干流
,,60116000,慈湖,1786514400000,4,7.63,长江干流
