kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786201200000,6,4,33.300
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786204800000,6,4,33.260
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786208400000,6,4,33.220
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786212000000,6,4,33.200
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786215600000,6,4,33.190
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786219200000,6,4,33.170
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786222800000,6,4,33.160
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786226400000,6,4,33.140
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786230000000,6,4,33.130
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786240800000,6,4,33.090
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786244400000,6,4,33.080
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786251600000,6,4,33.050
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786255200000,6,4,33.030
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786258800000,6,4,33.010
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786262400000,6,4,32.980
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786266000000,6,4,32.960
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786269600000,6,4,32.930
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786273200000,6,4,32.910
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786280400000,6,4,32.870
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786284000000,6,4,32.850
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786287600000,6,4,32.830
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786291200000,6,4,32.810
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786294800000,6,4,32.800
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786298400000,6,4,32.780
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786302000000,6,4,32.770
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786305600000,6,6,32.770
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786309200000,6,4,32.760
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786312800000,6,4,32.750
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786316400000,6,4,32.740
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786320000000,6,4,32.720
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786327200000,6,4,32.700
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786334400000,6,4,32.660
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786341600000,6,4,32.620
1,长江,0,6,0,0,0,0,0,1,60108900,郝穴,0,1786348800000,6,4,32.580
