oq,q,stcd,stnm,tm,wptn,z,rvnm
,,60115100,横港,1786201200000,6,9.14,长江干流
,,60115100,横港,1786204800000,6,9.14,长江干流
,,60115100,横港,1786208400000,4,9.13,长江干流
,,60115100,横港,1786212000000,6,9.13,长江干流
,,60115100,横港,1786215600000,4,9.12,长江干流
,,60115100,横港,1786219200000,6,9.12,长江干流
,,60115100,横港,1786222800000,4,9.11,长江干流
,,60115100,横港,1786226400000,6,9.11,长江干流
,,60115100,横港,1786230000000,5,9.12,长江干流
,,60115100,横港,1786240800000,5,9.17,长江干流
,,60115100,横港,1786244400000,5,9.18,长江干流
,,60115100,横港,1786251600000,6,9.19,长江干流
,,60115100,横港,1786255200000,4,9.18,长江干流
,,60115100,横港,1786258800000,4,9.17,长江干流
,,60115100,横港,1786262400000,4,9.16,长江干流
,,60115100,横港,1786266000000,6,9.16,长江干流
,,60115100,横港,1786269600000,4,9.15,长江干流
,,60115100,横港,1786273200000,4,9.14,长江干流
,,60115100,横港,1786280400000,4,9.13,长江干流
,,60115100,横港,1786284000000,5,9.15,长江干流
,,60115100,横港,1786287600000,6,9.15,长江干流
,,60115100,横港,1786291200000,6,9.15,长江干流
,,60115100,横港,1786294800000,6,9.15,长江干流
,,60115100,横港,1786298400000,6,9.15,长江干流
,,60115100,横港,1786302000000,6,9.15,长江干流
,,60115100,横港,1786305600000,4,9.14,长江干流
,,60115100,横港,1786309200000,6,9.14,长江干流
,,60115100,横港,1786312800000,5,9.15,长江干流
,,60115100,横港,1786316400000,6,9.15,长江干流
,,60115100,横港,1786320000000,5,9.19,长江干流
,,60115100,横港,1786327200000,5,9.27,长江干流
,,60115100,横港,1786334400000,5,9.32,长江干流
,,60115100,横港,1786341600000,6,9.31,长江干流
,,60115100,横港,1786348800000,6,9.32,长江干流
,,60115100,横港,1786352400000,4,9.31,长江干流
,,60115100,横港,1786359600000,6,9.32,长江干流
,,60115100,横港,1786363200000,6,9.32,长江干流
,,60115100,横港,1786366800000,5,9.35,长江干流
,,60115100,横港,1786374000000,5,9.4,长江干流
,,60115100,横港,1786377600000,5,9.42,长江干流
,,60115100,横港,1786381200000,5,9.45,长江干流
,,60115100,横港,1786384800000,5,9.47,长江干流
,,60115100,横港,1786388400000,6,9.47,长江干流
,,60115100,横港,1786392000000,5,9.48,长江干流
,,60115100,横港,1786395600000,5,9.49,长江干流
,,60115100,横港,1786399200000,5,9.5,长江干流
,,60115100,横港,1786402800000,5,9.51,长江干流
,,60115100,横港,1786413600000,5,9.59,长江干流
,,60115100,横港,1786417200000,5,9.65,长江干流
