kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786203000000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786204200000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786207200000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786209000000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786211100000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786214700000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786216800000,5,6,55.06
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786218600000,5,6,55.06
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786221300000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786223100000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786225500000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786227300000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786229700000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786231800000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786233300000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786242000000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786247700000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786252200000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786255200000,5,6,55.05
1,0,2.56,陆水,430,1,61703060,毛家桥(二),0,1786259400000,5,6,55.05
1,0,2.43,陆水,430,1,61703060,毛家桥(二),0,1786262400000,5,6,55.04
1,0,2.43,陆水,430,1,61703060,毛家桥(二),0,1786265700000,5,6,55.04
1,0,2.43,陆水,430,1,61703060,毛家桥(二),0,1786269000000,5,6,55.04
1,0,2.43,陆水,430,1,61703060,毛家桥(二),0,1786271700000,5,6,55.04
1,0,2.43,陆水,430,1,61703060,毛家桥(二),0,1786273800000,5,6,55.04
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786282200000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786284900000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786287900000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786290000000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786291800000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786293300000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786295400000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786297200000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786299000000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786301700000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786304400000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786305900000,5,6,55.03
1,0,2.31,陆水,430,1,61703060,毛家桥(二),0,1786308300000,5,6,55.03
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786311600000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786313100000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786315500000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786318800000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786321800000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786330500000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786337400000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786343700000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786349400000,5,6,55.02
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786354800000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786360500000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786364400000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786369800000,5,6,55.01
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786374300000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786377900000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786381500000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786384500000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786388700000,5,6,55.02
1,0,2.19,陆水,430,1,61703060,毛家桥(二),0,1786392000000,5,6,55.02
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786395300000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786398600000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786402200000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786405200000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786414800000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786420500000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786425900000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786429500000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786434600000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786439400000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786442400000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786446000000,5,6,55.01
1,0,2.07,陆水,430,1,61703060,毛家桥(二),0,1786449000000,5,6,55.01
1,0,2.43,陆水,430,1,61703060,毛家桥(二),0,1786455000000,5,5,55.04
1,0,2.68,陆水,430,1,61703060,毛家桥(二),0,1786459200000,5,6,55.06
1,0,2.92,陆水,430,1,61703060,毛家桥(二),0,1786462500000,5,6,55.08
1,0,3.05,陆水,430,1,61703060,毛家桥(二),0,1786465800000,5,6,55.09
1,0,3.17,陆水,430,1,61703060,毛家桥(二),0,1786469700000,5,6,55.1
1,0,3.17,陆水,430,1,61703060,毛家桥(二),0,1786473000000,5,6,55.1
1,0,3.17,陆水,430,1,61703060,毛家桥(二),0,1786477200000,5,6,55.1
1,0,3.17,陆水,430,1,61703060,毛家桥(二),0,1786479600000,5,6,55.1
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786483500000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786486800000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786490100000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786494900000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786503600000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786510200000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786516500000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786521300000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786526700000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786530900000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786533900000,5,6,55.11
1,0,3.29,陆水,430,1,61703060,毛家桥(二),0,1786537500000,5,6,55.11
1,0,3.17,陆水,430,1,61703060,毛家桥(二),0,1786543200000,5,6,55.1
1,0,3.17,陆水,430,1,61703060,毛家桥(二),0,1786547400000,5,6,55.1
1,0,3.17,陆水,430,1,61703060,毛家桥(二),0,1786550700000,5,6,55.1
1,0,3.17,陆水,430,1,61703060,毛家桥(二),0,1786554300000,5,6,55.1
1,0,0,陆水,430,1,61703060,毛家桥(二),0,1786557600000,5,6,55.1
1,0,3.05,陆水,430,1,61703060,毛家桥(二),0,1786562400000,5,6,55.09
1,0,3.05,陆水,430,1,61703060,毛家桥(二),0,1786565700000,5,6,55.09
1,0,3.05,陆水,430,1,61703060,毛家桥(二),0,1786569600000,5,6,55.09
1,0,3.05,陆水,430,1,61703060,毛家桥(二),0,1786573200000,5,6,55.09
1,0,3.05,陆水,430,1,61703060,毛家桥(二),0,1786576500000,5,6,55.09
1,0,3.05,陆水,430,1,61703060,毛家桥(二),0,1786581600000,5,6,55.09
1,0,3.05,陆水,430,1,61703060,毛家桥(二),0,1786590600000,5,6,55.09
1,0,2.92,陆水,430,1,61703060,毛家桥(二),0,1786597200000,5,6,55.08
1,0,2.92,陆水,430,1,61703060,毛家桥(二),0,1786602900000,5,6,55.08
