kind,q,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,5.070,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786201200000,6,4,35.130
1,13.800,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786204800000,6,4,35.090
1,18.100,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786208400000,6,4,35.070
1,20.300,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786212000000,6,4,35.060
1,22.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786215600000,6,4,35.050
1,24.600,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786219200000,6,4,35.040
1,26.800,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786222800000,6,4,35.030
1,31.200,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786226400000,6,4,35.010
1,35.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786230000000,6,4,34.990
1,48.600,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786240800000,6,4,34.930
1,61.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786244400000,6,4,34.900
1,58.900,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786251600000,6,4,34.860
1,57.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786255200000,6,4,34.830
1,55.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786258800000,6,4,34.800
1,53.100,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786262400000,6,4,34.770
1,51.200,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786266000000,6,4,34.740
1,49.300,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786269600000,6,4,34.710
1,46.700,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786273200000,6,4,34.670
1,44.800,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786280400000,6,4,34.640
1,43.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786284000000,6,4,34.620
1,42.200,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786287600000,6,4,34.600
1,42.200,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786291200000,6,6,34.600
1,41.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786294800000,6,4,34.590
1,41.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786298400000,6,6,34.590
1,40.900,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786302000000,6,4,34.580
1,40.900,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786305600000,6,6,34.580
1,39.600,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786309200000,6,4,34.560
1,39.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786312800000,6,4,34.550
1,38.300,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786316400000,6,4,34.540
1,36.400,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786320000000,6,4,34.510
1,51.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786327320000,6,6,34.480
1,48.400,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786334400000,6,4,34.440
1,45.400,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786341600000,6,4,34.380
1,44.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786348800000,6,4,34.350
1,43.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786352400000,6,4,34.340
1,43.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786359600000,6,6,34.330
1,42.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786363200000,6,4,34.310
1,42.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786370400000,6,4,34.320
1,43.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786374000000,6,5,34.330
1,43.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786377600000,6,6,34.330
1,43.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786381200000,6,6,34.330
1,43.500,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786384800000,6,5,34.340
1,44.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786388400000,6,5,34.350
1,44.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786392000000,6,6,34.350
1,44.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786395600000,6,6,34.350
1,44.000,虎渡河,0,16,0,0,0,0,0,1,61501500,弥陀寺,0,1786399200000,6,6,34.350
