kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,20.2,陆水,420,1,61703000,崇阳,0,1786203000000,5,5,52.12
1,0,20.2,陆水,420,1,61703000,崇阳,0,1786204200000,5,6,52.12
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786207200000,5,6,52.1
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786209000000,5,6,52.1
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786211100000,5,6,52.1
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786214700000,5,6,52.1
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786216800000,5,6,52.09
1,0,19.9,陆水,420,1,61703000,崇阳,0,1786218600000,5,6,52.1
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786221300000,5,6,52.09
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786223100000,5,6,52.09
1,0,19.7,陆水,420,1,61703000,崇阳,0,1786225500000,5,6,52.08
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786227300000,5,6,52.09
1,0,19.8,陆水,420,1,61703000,崇阳,0,1786229700000,5,6,52.09
1,0,19.7,陆水,420,1,61703000,崇阳,0,1786231800000,5,6,52.08
1,0,19.7,陆水,420,1,61703000,崇阳,0,1786233300000,5,6,52.08
1,0,19.5,陆水,420,1,61703000,崇阳,0,1786242000000,5,6,52.07
1,0,19.5,陆水,420,1,61703000,崇阳,0,1786247700000,5,5,52.07
1,0,19.4,陆水,420,1,61703000,崇阳,0,1786252200000,5,6,52.06
1,0,19.5,陆水,420,1,61703000,崇阳,0,1786255200000,5,6,52.07
1,0,19.4,陆水,420,1,61703000,崇阳,0,1786259400000,5,6,52.06
1,0,19.2,陆水,420,1,61703000,崇阳,0,1786262400000,5,4,52.05
1,0,19.1,陆水,420,1,61703000,崇阳,0,1786265700000,5,4,52.04
1,0,19.1,陆水,420,1,61703000,崇阳,0,1786269000000,5,6,52.04
1,0,19.1,陆水,420,1,61703000,崇阳,0,1786271700000,5,6,52.04
1,0,19.1,陆水,420,1,61703000,崇阳,0,1786273800000,5,6,52.04
1,0,18.9,陆水,420,1,61703000,崇阳,0,1786282200000,5,6,52.03
1,0,18.9,陆水,420,1,61703000,崇阳,0,1786284900000,5,5,52.03
1,0,18.8,陆水,420,1,61703000,崇阳,0,1786287900000,5,6,52.02
1,0,18.7,陆水,420,1,61703000,崇阳,0,1786290000000,5,4,52.01
1,0,18.7,陆水,420,1,61703000,崇阳,0,1786291800000,5,6,52.01
1,0,18.5,陆水,420,1,61703000,崇阳,0,1786293300000,5,6,52
1,0,18.5,陆水,420,1,61703000,崇阳,0,1786295400000,5,4,52
1,0,18.7,陆水,420,1,61703000,崇阳,0,1786297200000,5,5,52.01
1,0,18.5,陆水,420,1,61703000,崇阳,0,1786299000000,5,6,52
1,0,18.7,陆水,420,1,61703000,崇阳,0,1786301700000,5,5,52.01
1,0,18.5,陆水,420,1,61703000,崇阳,0,1786304400000,5,6,52
1,0,18.5,陆水,420,1,61703000,崇阳,0,1786305900000,5,6,52
1,0,18.4,陆水,420,1,61703000,崇阳,0,1786308300000,5,6,51.99
1,0,18.2,陆水,420,1,61703000,崇阳,0,1786311600000,5,6,51.98
1,0,18.2,陆水,420,1,61703000,崇阳,0,1786313100000,5,6,51.98
1,0,18.2,陆水,420,1,61703000,崇阳,0,1786315500000,5,4,51.98
1,0,18.2,陆水,420,1,61703000,崇阳,0,1786318800000,5,5,51.98
1,0,18.2,陆水,420,1,61703000,崇阳,0,1786321800000,5,5,51.98
1,0,18.1,陆水,420,1,61703000,崇阳,0,1786330500000,5,4,51.97
1,0,18,陆水,420,1,61703000,崇阳,0,1786337400000,5,6,51.96
1,0,18,陆水,420,1,61703000,崇阳,0,1786343700000,5,6,51.96
1,0,17.7,陆水,420,1,61703000,崇阳,0,1786349400000,5,6,51.94
1,0,17.7,陆水,420,1,61703000,崇阳,0,1786355100000,5,6,51.94
1,0,17.5,陆水,420,1,61703000,崇阳,0,1786360500000,5,6,51.93
1,0,17.4,陆水,420,1,61703000,崇阳,0,1786364400000,5,6,51.92
1,0,17.4,陆水,420,1,61703000,崇阳,0,1786369800000,5,6,51.92
1,0,17.1,陆水,420,1,61703000,崇阳,0,1786374300000,5,6,51.9
1,0,17.1,陆水,420,1,61703000,崇阳,0,1786377900000,5,6,51.9
1,0,17.2,陆水,420,1,61703000,崇阳,0,1786381500000,5,6,51.91
1,0,17.1,陆水,420,1,61703000,崇阳,0,1786384800000,5,6,51.9
