kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786201200000,5,5,30.28
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786204800000,5,4,30.27
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786208400000,5,4,30.26
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786212000000,5,6,30.26
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786215600000,5,4,30.25
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786219200000,5,6,30.25
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786222800000,5,4,30.24
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786226400000,5,6,30.24
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786230000000,5,4,30.23
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786240800000,5,6,30.21
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786244400000,5,4,30.2
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786251600000,5,6,30.19
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786255200000,5,4,30.18
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786258800000,5,6,30.18
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786262400000,5,6,30.18
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786266000000,5,4,30.16
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786269600000,5,4,30.15
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786273200000,5,6,30.15
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786280400000,5,4,30.13
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786284000000,5,4,30.12
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786287600000,5,4,30.11
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786291200000,5,4,30.1
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786294800000,5,4,30.09
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786298400000,5,4,30.08
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786302000000,5,4,30.07
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786305600000,5,4,30.06
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786309200000,5,4,30.05
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786312800000,5,4,30.04
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786316400000,5,6,30.04
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786320000000,5,6,30.04
1,0,0,南洞庭湖,300,1,61508300,东南湖,0,1786327200000,5,4,30.01
