kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788206400000,5,4,31.67
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788220800000,5,4,31.59
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788238800000,5,4,31.5
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788256800000,5,4,31.45
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788274800000,5,5,31.44
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788285600000,5,6,31.43
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788296400000,5,4,31.38
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788303600000,5,4,31.36
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788310800000,5,4,31.33
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788328800000,5,6,31.27
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788346800000,5,6,31.23
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788361200000,5,5,31.22
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788372000000,5,6,31.22
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788382800000,5,6,31.18
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788390000000,5,4,31.15
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788397200000,5,4,31.12
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788415200000,5,4,31.07
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788433200000,5,4,31.02
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788447600000,5,5,31.07
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788458400000,5,5,31.12
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788469200000,5,5,31.16
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788476400000,5,4,31.12
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788483600000,5,4,31.09
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788501600000,5,4,31
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788519600000,5,5,31.06
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788534000000,5,6,31.1
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788544800000,5,5,31.13
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788552000000,5,6,31.14
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788559200000,5,4,31.12
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788566400000,5,4,31.11
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788584400000,5,4,31.07
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788598800000,5,6,31.04
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788609600000,5,4,31.01
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788624000000,5,6,31
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788631200000,5,4,30.98
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788638400000,5,4,30.96
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788645600000,5,4,30.95
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788649200000,5,4,30.94
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788667200000,5,4,30.91
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788681600000,5,6,30.9
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788696000000,5,4,30.88
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788710400000,5,4,30.82
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788717600000,5,4,30.79
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788724800000,5,6,30.79
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788732000000,5,5,30.79
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788739200000,5,6,30.78
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788760800000,5,6,30.77
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788782400000,5,5,30.77
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788800400000,5,6,30.75
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788814800000,5,5,30.75
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788822000000,5,4,30.74
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788829200000,5,6,30.74
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788847200000,5,4,30.68
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788865200000,5,6,30.66
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788879600000,5,6,30.66
1,0,0,松滋河(西支),130,1,61505000,官垸,0,1788944400000,5,5,30.59
