kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788206400000,5,4,28.98
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788220800000,5,5,28.91
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788238800000,5,5,28.98
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788256800000,5,5,29.09
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788274800000,5,5,29.18
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788285600000,5,6,29.2
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788296400000,5,5,29.22
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788303600000,5,6,29.22
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788310800000,5,6,29.23
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788328800000,5,4,29.12
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788346800000,5,4,28.96
1,0,0,资水(西支),330,1,61508601,甘溪港,0,1788361200000,5,4,28.9
