q,tm,wptn,z,stcd,stnm,www,rvnm
49.6,1788206400000,6,165.38,62001750,磨峪湾,1,汉江
49.6,1788220800000,6,165.38,62001750,磨峪湾,1,汉江
32.2,1788238800000,4,165.22,62001750,磨峪湾,1,汉江
30.6,1788256800000,6,165.2,62001750,磨峪湾,1,汉江
30.6,1788274800000,6,165.2,62001750,磨峪湾,1,汉江
31.4,1788285600000,5,165.21,62001750,磨峪湾,1,汉江
31.4,1788296400000,6,165.21,62001750,磨峪湾,1,汉江
32.2,1788303600000,5,165.22,62001750,磨峪湾,1,汉江
47.1,1788310800000,5,165.36,62001750,磨峪湾,1,汉江
50.8,1788328800000,5,165.39,62001750,磨峪湾,1,汉江
49.6,1788346800000,6,165.38,62001750,磨峪湾,1,汉江
