kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,汉江,620,1,61804400,岳口,0,1788206400000,5,5,28.11
1,0,0,汉江,620,1,61804400,岳口,0,1788220800000,5,5,28.15
1,0,0,汉江,620,1,61804400,岳口,0,1788238800000,5,6,28.16
1,0,0,汉江,620,1,61804400,岳口,0,1788256800000,5,4,28.09
1,0,0,汉江,620,1,61804400,岳口,0,1788274800000,5,4,27.96
1,0,0,汉江,620,1,61804400,岳口,0,1788285600000,5,4,27.89
1,0,0,汉江,620,1,61804400,岳口,0,1788296400000,5,4,27.82
1,0,0,汉江,620,1,61804400,岳口,0,1788303600000,5,4,27.78
1,0,0,汉江,620,1,61804400,岳口,0,1788310800000,5,4,27.74
1,0,0,汉江,620,1,61804400,岳口,0,1788328800000,5,4,27.67
1,0,0,汉江,620,1,61804400,岳口,0,1788346800000,5,5,27.63
