kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,汉江,620,1,61804400,岳口,0,1788206400000,5,5,28.11
1,0,0,汉江,620,1,61804400,岳口,0,1788220800000,5,5,28.15
1,0,0,汉江,620,1,61804400,岳口,0,1788238800000,5,6,28.16
1,0,0,汉江,620,1,61804400,岳口,0,1788256800000,5,4,28.09
1,0,0,汉江,620,1,61804400,岳口,0,1788274800000,5,4,27.96
1,0,0,汉江,620,1,61804400,岳口,0,1788285600000,5,4,27.89
1,0,0,汉江,620,1,61804400,岳口,0,1788296400000,5,4,27.82
1,0,0,汉江,620,1,61804400,岳口,0,1788303600000,5,4,27.78
1,0,0,汉江,620,1,61804400,岳口,0,1788310800000,5,4,27.74
1,0,0,汉江,620,1,61804400,岳口,0,1788328800000,5,4,27.67
1,0,0,汉江,620,1,61804400,岳口,0,1788346800000,5,5,27.63
1,0,0,汉江,620,1,61804400,岳口,0,1788361200000,5,6,27.59
1,0,0,汉江,620,1,61804400,岳口,0,1788372000000,5,4,27.55
1,0,0,汉江,620,1,61804400,岳口,0,1788382800000,5,4,27.5
1,0,0,汉江,620,1,61804400,岳口,0,1788390000000,5,4,27.5
1,0,0,汉江,620,1,61804400,岳口,0,1788397200000,5,6,27.48
1,0,0,汉江,620,1,61804400,岳口,0,1788415200000,5,6,27.42
1,0,0,汉江,620,1,61804400,岳口,0,1788433200000,5,5,27.38
1,0,0,汉江,620,1,61804400,岳口,0,1788447600000,5,4,27.35
1,0,0,汉江,620,1,61804400,岳口,0,1788458400000,5,4,27.34
1,0,0,汉江,620,1,61804400,岳口,0,1788469200000,5,4,27.33
1,0,0,汉江,620,1,61804400,岳口,0,1788476400000,5,6,27.33
1,0,0,汉江,620,1,61804400,岳口,0,1788483600000,5,6,27.32
1,0,0,汉江,620,1,61804400,岳口,0,1788501600000,5,4,27.3
1,0,0,汉江,620,1,61804400,岳口,0,1788519600000,5,4,27.23
1,0,0,汉江,620,1,61804400,岳口,0,1788534000000,5,4,27.17
1,0,0,汉江,620,1,61804400,岳口,0,1788544800000,5,4,27.13
1,0,0,汉江,620,1,61804400,岳口,0,1788552000000,5,4,27.1
1,0,0,汉江,620,1,61804400,岳口,0,1788559200000,5,4,27.08
1,0,0,汉江,620,1,61804400,岳口,0,1788566400000,5,4,27.06
1,0,0,汉江,620,1,61804400,岳口,0,1788584400000,5,4,27.01
1,0,0,汉江,620,1,61804400,岳口,0,1788598800000,5,6,27
1,0,0,汉江,620,1,61804400,岳口,0,1788609600000,5,6,27.02
1,0,0,汉江,620,1,61804400,岳口,0,1788620400000,5,6,27.04
