kind,rvnm,showdp,sort,sortall,sortw1,sortw2,sortw3,sortwdp,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788206400000,6,6,27.910
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788220800000,6,5,27.920
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788238800000,6,5,27.940
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788256800000,6,6,27.940
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788274800000,6,5,27.950
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788285600000,6,4,27.950
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788296400000,6,6,27.950
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788303600000,6,5,27.960
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788310800000,6,5,27.960
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788328800000,6,6,27.960
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788346800000,6,6,27.950
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788361200000,6,6,27.940
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788372000000,6,6,27.930
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788382800000,6,4,27.900
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788390000000,6,6,27.900
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788397200000,6,4,27.880
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788415200000,6,4,27.860
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788433200000,6,4,27.840
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788447600000,6,6,27.830
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788458400000,6,4,27.800
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788469200000,6,4,27.780
1,长江,0,11,0,0,0,0,0,1,60110900,广兴洲,0,1788476400000,6,4,27.760
