kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788206400000,5,4,30.08
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788220800000,5,6,30.07
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788238800000,5,6,30.07
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788256800000,5,6,30.06
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788274800000,5,4,30.05
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788285600000,5,4,30.04
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788296400000,5,6,30.03
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788303600000,5,4,30.01
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788310800000,5,6,30
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788328800000,5,4,29.97
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788346800000,5,6,29.95
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788361200000,5,4,29.93
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788372000000,5,4,29.91
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788382800000,5,4,29.89
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788390000000,5,6,29.88
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788397200000,5,4,29.86
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788415200000,5,6,29.83
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788433200000,5,4,29.79
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788447600000,5,6,29.78
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788458400000,5,6,29.77
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788469200000,5,4,29.74
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788476400000,5,4,29.73
1,0,0,长江中游,80,1,61502800,梅田湖,0,1788483600000,5,4,29.72
