q,rvnm,stcd,stnm,tm,wptn,z
17900,长江干流,60105400,寸滩,1788134400000,5,168.280
16300,长江干流,60105400,寸滩,1788202800000,4,167.43
16200,长江干流,60105400,寸滩,1788206400000,4,167.370
15800,长江干流,60105400,寸滩,1788217200000,4,167.16
15600,长江干流,60105400,寸滩,1788220800000,4,167.070
15100,长江干流,60105400,寸滩,1788235200000,4,166.8
15100,长江干流,60105400,寸滩,1788238800000,4,166.750
14100,长江干流,60105400,寸滩,1788253200000,4,166.55
14000,长江干流,60105400,寸滩,1788256800000,4,166.480
13700,长江干流,60105400,寸滩,1788271200000,4,166.34
13600,长江干流,60105400,寸滩,1788274800000,4,166.310
13500,长江干流,60105400,寸滩,1788282000000,4,166.27
13500,长江干流,60105400,寸滩,1788285600000,6,166.270
13500,长江干流,60105400,寸滩,1788292800000,4,166.26
13500,长江干流,60105400,寸滩,1788296400000,4,166.230
13400,长江干流,60105400,寸滩,1788300000000,4,166.21
13300,长江干流,60105400,寸滩,1788303600000,4,166.170
13200,长江干流,60105400,寸滩,1788307200000,4,166.120
13100,长江干流,60105400,寸滩,1788310800000,4,166.060
