kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,27200,长江,20,1,60111300,螺山,1,1788206400000,5,6,25.56
1,0,27200,长江,20,1,60111300,螺山,1,1788238800000,5,6,25.62
1,0,26900,长江,20,1,60111300,螺山,1,1788256800000,5,6,25.6
1,0,27200,长江,20,1,60111300,螺山,1,1788274800000,5,5,25.65
1,0,27400,长江,20,1,60111300,螺山,1,1788285600000,5,6,25.67
1,0,27500,长江,20,1,60111300,螺山,1,1788296400000,5,6,25.7
1,0,27600,长江,20,1,60111300,螺山,1,1788303600000,5,4,25.72
1,0,27600,长江,20,1,60111300,螺山,1,1788310800000,5,6,25.73
1,0,27600,长江,20,1,60111300,螺山,1,1788328800000,5,4,25.73
1,0,27600,长江,20,1,60111300,螺山,1,1788346800000,5,5,25.78
1,0,27300,长江,20,1,60111300,螺山,1,1788361200000,5,5,25.78
1,0,27100,长江,20,1,60111300,螺山,1,1788372000000,5,5,25.8
1,0,27300,长江,20,1,60111300,螺山,1,1788382800000,5,5,25.8
1,0,27400,长江,20,1,60111300,螺山,1,1788390000000,5,4,25.79
1,0,26900,长江,20,1,60111300,螺山,1,1788397200000,5,5,25.8
1,0,27200,长江,20,1,60111300,螺山,1,1788415200000,5,6,25.77
1,0,27000,长江,20,1,60111300,螺山,1,1788433200000,5,4,25.77
1,0,26900,长江,20,1,60111300,螺山,1,1788447600000,5,6,25.76
1,0,26800,长江,20,1,60111300,螺山,1,1788458400000,5,4,25.74
1,0,26700,长江,20,1,60111300,螺山,1,1788469200000,5,4,25.72
1,0,26800,长江,20,1,60111300,螺山,1,1788476400000,5,4,25.7
1,0,26700,长江,20,1,60111300,螺山,1,1788483600000,5,4,25.7
1,0,26500,长江,20,1,60111300,螺山,1,1788501600000,5,4,25.66
1,0,26800,长江,20,1,60111300,螺山,1,1788519600000,5,6,25.66
1,0,26700,长江,20,1,60111300,螺山,1,1788534000000,5,6,25.67
1,0,26700,长江,20,1,60111300,螺山,1,1788544800000,5,6,25.67
1,0,26600,长江,20,1,60111300,螺山,1,1788552000000,5,5,25.68
1,0,26400,长江,20,1,60111300,螺山,1,1788559200000,5,6,25.7
1,0,26900,长江,20,1,60111300,螺山,1,1788584400000,5,6,25.7
1,0,26800,长江,20,1,60111300,螺山,1,1788598800000,5,6,25.71
1,0,27100,长江,20,1,60111300,螺山,1,1788609600000,5,5,25.72
1,0,26900,长江,20,1,60111300,螺山,1,1788624000000,5,5,25.75
1,0,27200,长江,20,1,60111300,螺山,1,1788631200000,5,6,25.74
1,0,27100,长江,20,1,60111300,螺山,1,1788638400000,5,5,25.75
1,0,27000,长江,20,1,60111300,螺山,1,1788645600000,5,5,25.76
1,0,27200,长江,20,1,60111300,螺山,1,1788649200000,5,4,25.74
1,0,27300,长江,20,1,60111300,螺山,1,1788667200000,5,6,25.76
1,0,27000,长江,20,1,60111300,螺山,1,1788681600000,5,5,25.78
1,0,27000,长江,20,1,60111300,螺山,1,1788696000000,5,6,25.78
1,0,26900,长江,20,1,60111300,螺山,1,1788710400000,5,6,25.79
1,0,26800,长江,20,1,60111300,螺山,1,1788717600000,5,5,25.8
1,0,26900,长江,20,1,60111300,螺山,1,1788724800000,5,6,25.79
1,0,27000,长江,20,1,60111300,螺山,1,1788732000000,5,6,25.78
1,0,25400,长江,20,1,60111300,螺山,1,1788760800000,5,6,25.77
1,0,24900,长江,20,1,60111300,螺山,1,1788782400000,5,4,25.74
1,0,24800,长江,20,1,60111300,螺山,1,1788800400000,5,4,25.7
1,0,24400,长江,20,1,60111300,螺山,1,1788814800000,5,6,25.68
1,0,24200,长江,20,1,60111300,螺山,1,1788822000000,5,6,25.67
1,0,24100,长江,20,1,60111300,螺山,1,1788829200000,5,4,25.64
1,0,23600,长江,20,1,60111300,螺山,1,1788847200000,5,4,25.6
1,0,23200,长江,20,1,60111300,螺山,1,1788865200000,5,4,25.53
1,0,23000,长江,20,1,60111300,螺山,1,1788879600000,5,4,25.47
1,0,21400,长江,20,1,60111300,螺山,1,1788944400000,5,4,25.14
1,0,21300,长江,20,1,60111300,螺山,1,1788958800000,5,4,25.06
1,0,21000,长江,20,1,60111300,螺山,1,1788987600000,5,4,24.93
1,0,20800,长江,20,1,60111300,螺山,1,1789012800000,5,4,24.84
1,0,20700,长江,20,1,60111300,螺山,1,1789030800000,5,4,24.77
1,0,20500,长江,20,1,60111300,螺山,1,1789045200000,5,4,24.72
1,0,19900,长江,20,1,60111300,螺山,1,1789074000000,5,6,24.61
1,0,19500,长江,20,1,60111300,螺山,1,1789099200000,5,4,24.48
1,0,19200,长江,20,1,60111300,螺山,1,1789117200000,5,4,24.39
