kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,汉江,640,1,61804710,汉川,0,1788206400000,5,6,21.25
1,0,0,汉江,640,1,61804710,汉川,0,1788220800000,5,5,21.26
1,0,0,汉江,640,1,61804710,汉川,0,1788238800000,5,5,21.28
1,0,0,汉江,640,1,61804710,汉川,0,1788256800000,5,5,21.3
1,0,0,汉江,640,1,61804710,汉川,0,1788274800000,5,6,21.32
1,0,0,汉江,640,1,61804710,汉川,0,1788285600000,5,6,21.34
1,0,0,汉江,640,1,61804710,汉川,0,1788296400000,5,6,21.35
1,0,0,汉江,640,1,61804710,汉川,0,1788303600000,5,6,21.36
1,0,0,汉江,640,1,61804710,汉川,0,1788310800000,5,6,21.36
1,0,0,汉江,640,1,61804710,汉川,0,1788328800000,5,6,21.35
1,0,0,汉江,640,1,61804710,汉川,0,1788346800000,5,6,21.34
1,0,0,汉江,640,1,61804710,汉川,0,1788361200000,5,6,21.35
1,0,0,汉江,640,1,61804710,汉川,0,1788372000000,5,6,21.34
1,0,0,汉江,640,1,61804710,汉川,0,1788382800000,5,6,21.35
1,0,0,汉江,640,1,61804710,汉川,0,1788390000000,5,6,21.35
1,0,0,汉江,640,1,61804710,汉川,0,1788397200000,5,4,21.34
1,0,0,汉江,640,1,61804710,汉川,0,1788415200000,5,6,21.34
1,0,0,汉江,640,1,61804710,汉川,0,1788433200000,5,4,21.32
1,0,0,汉江,640,1,61804710,汉川,0,1788447600000,5,6,21.32
1,0,0,汉江,640,1,61804710,汉川,0,1788458400000,5,4,21.3
1,0,0,汉江,640,1,61804710,汉川,0,1788469200000,5,6,21.3
