kind,oq,q,rvnm,sort,status,stcd,stnm,stype,tm,websiteid,wptn,z
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788206400000,5,6,38.02
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788220800000,5,4,37.96
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788238800000,5,5,38.01
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788256800000,5,4,37.97
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788274800000,5,4,37.96
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788285600000,5,4,37.94
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788296400000,5,4,37.95
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788303600000,5,5,37.96
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788310800000,5,6,37.95
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788328800000,5,4,37.93
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788346800000,5,4,37.88
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788361200000,5,5,37.89
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788372000000,5,5,37.89
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788382800000,5,4,37.85
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788390000000,5,5,37.85
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788397200000,5,4,37.83
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788415200000,5,4,37.78
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788433200000,5,4,37.71
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788447600000,5,4,37.65
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788458400000,5,4,37.62
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788469200000,5,4,37.59
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788476400000,5,4,37.56
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788483600000,5,4,37.54
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788501600000,5,6,37.54
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788519600000,5,6,37.55
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788534000000,5,6,37.55
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788544800000,5,6,37.56
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788552000000,5,6,37.57
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788559200000,5,4,37.56
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788566400000,5,5,37.6
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788584400000,5,4,37.59
1,0,0,汉江,590,1,61804210,沙洋(三),0,1788598800000,5,6,37.56
