tm,wptn,z,stcd,stnm,www,rvnm
1788206400000,4,88.94,61802600,王家营(三),2,汉江
1788220800000,4,88.72,61802600,王家营(三),2,汉江
1788238800000,6,88.7,61802600,王家营(三),2,汉江
1788256800000,6,88.7,61802600,王家营(三),2,汉江
1788274800000,4,89.03,61802600,王家营(三),2,汉江
1788285600000,4,88.99,61802600,王家营(三),2,汉江
1788296400000,4,88.83,61802600,王家营(三),2,汉江
1788303600000,4,88.73,61802600,王家营(三),2,汉江
1788310800000,4,88.7,61802600,王家营(三),2,汉江
1788328800000,6,88.7,61802600,王家营(三),2,汉江
1788346800000,5,88.95,61802600,王家营(三),2,汉江
1788361200000,5,89.29,61802600,王家营(三),2,汉江
1788372000000,4,88.92,61802600,王家营(三),2,汉江
1788382800000,4,88.76,61802600,王家营(三),2,汉江
1788390000000,4,88.71,61802600,王家营(三),2,汉江
