oq,q,stcd,stnm,tm,wptn,z,rvnm
0,475,60613950,富顺,1788202800000,5,262.84,沱江
0,460,60613950,富顺,1788217200000,6,262.8,沱江
0,419,60613950,富顺,1788235200000,4,262.69,沱江
0,402,60613950,富顺,1788253200000,6,262.64,沱江
0,395,60613950,富顺,1788271200000,4,262.62,沱江
0,399,60613950,富顺,1788282000000,6,262.63,沱江
0,402,60613950,富顺,1788292800000,6,262.64,沱江
0,412,60613950,富顺,1788300000000,4,262.67,沱江
0,412,60613950,富顺,1788307200000,5,262.67,沱江
0,412,60613950,富顺,1788325200000,4,262.67,沱江
0,376,60613950,富顺,1788343200000,4,262.56,沱江
0,356,60613950,富顺,1788357600000,4,262.5,沱江
0,376,60613950,富顺,1788368400000,5,262.56,沱江
0,360,60613950,富顺,1788379200000,4,262.51,沱江
,346.000,60613950,富顺,1788390000000,4,262.470,沱江
0,346,60613950,富顺,1788393600000,6,262.47,沱江
0,337,60613950,富顺,1788411600000,4,262.44,沱江
0,304,60613950,富顺,1788429600000,6,262.34,沱江
0,295,60613950,富顺,1788444000000,6,262.31,沱江
0,292,60613950,富顺,1788454800000,6,262.3,沱江
0,286,60613950,富顺,1788465600000,6,262.28,沱江
0,286,60613950,富顺,1788472800000,4,262.28,沱江
0,289,60613950,富顺,1788480000000,5,262.29,沱江
0,282,60613950,富顺,1788498000000,6,262.27,沱江
0,279,60613950,富顺,1788516000000,6,262.26,沱江
0,279,60613950,富顺,1788530400000,5,262.26,沱江
0,276,60613950,富顺,1788541200000,4,262.25,沱江
0,282,60613950,富顺,1788552000000,5,262.27,沱江
0,282,60613950,富顺,1788559200000,5,262.27,沱江
0,279,60613950,富顺,1788562800000,4,262.26,沱江
0,276,60613950,富顺,1788580800000,6,262.25,沱江
0,279,60613950,富顺,1788595200000,5,262.26,沱江
0,270,60613950,富顺,1788609600000,6,262.23,沱江
0,276,60613950,富顺,1788620400000,5,262.25,沱江
0,258,60613950,富顺,1788627600000,4,262.19,沱江
0,246,60613950,富顺,1788634800000,4,262.15,沱江
0,233,60613950,富顺,1788642000000,4,262.11,沱江
0,236,60613950,富顺,1788645600000,5,262.12,沱江
0,230,60613950,富顺,1788663600000,5,262.1,沱江
0,236,60613950,富顺,1788678000000,5,262.12,沱江
0,230,60613950,富顺,1788692400000,5,262.1,沱江
0,230,60613950,富顺,1788706800000,6,262.1,沱江
0,233,60613950,富顺,1788714000000,6,262.11,沱江
0,236,60613950,富顺,1788721200000,5,262.12,沱江
0,239,60613950,富顺,1788728400000,5,262.13,沱江
0,230,60613950,富顺,1788739200000,6,262.1,沱江
0,233,60613950,富顺,1788757200000,6,262.11,沱江
0,224,60613950,富顺,1788778800000,4,262.08,沱江
0,224,60613950,富顺,1788796800000,6,262.08,沱江
0,221,60613950,富顺,1788811200000,4,262.07,沱江
0,227,60613950,富顺,1788818400000,6,262.09,沱江
0,224,60613950,富顺,1788825600000,5,262.08,沱江
0,215,60613950,富顺,1788843600000,4,262.05,沱江
0,210,60613950,富顺,1788861600000,5,262.03,沱江
0,202,60613950,富顺,1788876000000,4,262,沱江
0,213,60613950,富顺,1788940800000,4,262.04,沱江
0,213,60613950,富顺,1788955200000,6,262.04,沱江
0,218,60613950,富顺,1788987600000,5,262.06,沱江
0,221,60613950,富顺,1788994800000,5,262.07,沱江
0,224,60613950,富顺,1789009200000,4,262.08,沱江
0,449,60613950,富顺,1789027200000,5,262.77,沱江
0,1440,60613950,富顺,1789041600000,5,264.86,沱江
0,2660,60613950,富顺,1789074000000,4,266.59,沱江
0,2700,60613950,富顺,1789081200000,5,266.64,沱江
0,2430,60613950,富顺,1789095600000,4,266.34,沱江
0,2200,60613950,富顺,1789113600000,4,266.04,沱江
0,2130,60613950,富顺,1789128000000,4,265.95,沱江
